Game Number,Start Time,Opponent,Total Wins,Total Losses,Playoffs in last year,Championships,Vegas Odds for 1819,day_of_week,month,date,year,Last Result,Last Overtime,Last LAC Score,Last Opp Score,Lagged Result,Lagged Overtime,Lagged LAC Score,Lagged Opp Score,Streak Direction,Streak Numeric,Last Att,Lagged Att
1,10:30p,Los Angeles Lakers,43,39,No,16,50.5,Tue,Oct,22,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
4,10:30p,Charlotte Hornets,43,39,No,0,23.5,Mon,Oct,28,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
6,10:30p,San Antonio Spurs,43,39,Yes,5,46.5,Thu,Oct,31,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
7,9:00p,Utah Jazz,43,39,Yes,0,53.5,Sun,Nov,3,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
8,10:00p,Milwaukee Bucks,43,39,Yes,1,57.5,Wed,Nov,6,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
9,10:30p,Portland Trail Blazers,43,39,Yes,1,46.5,Thu,Nov,7,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
10,10:30p,Toronto Raptors,43,39,Yes,1,46.5,Mon,Nov,11,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
13,10:30p,Atlanta Hawks,43,39,No,1,33.5,Sat,Nov,16,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
14,10:30p,Okalhoma City Thunder,43,39,Yes,1,32.5,Mon,Nov,18,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
15,10:00p,Boston Celtics,43,39,Yes,17,48.5,Wed,Nov,20,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
16,10:30p,Houston Rockets,43,39,Yes,2,54,Fri,Nov,22,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
17,9:00p,New Orleans Pelicans,43,39,No,0,37.5,Sun,Nov,24,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
21,10:30p,Washington Wizards,43,39,No,1,27,Sun,Dec,1,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
22,10:00p,Portland Trail Blazers,43,39,Yes,1,46.5,Tue,Dec,3,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
29,10:30p,Phoenix Suns,43,39,No,0,29.5,Tue,Dec,17,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
30,10:30p,Houston Rockets,43,39,Yes,2,54,Thu,Dec,19,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
34,10:30p,Utah Jazz,43,39,Yes,0,53.5,Sat,Dec,28,2019,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
36,10:30p,Detroit Pistons,43,39,Yes,3,37.5,Thu,Jan,2,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
37,3:00p,Memphis Grizzlies,43,39,No,0,27.5,Sat,Jan,4,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
38,3:00p,New York Knicks,43,39,No,2,26.5,Sun,Jan,5,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
39,10:30p,Golden State Warriors,43,39,Yes,5,47.5,Fri,Jan,10,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
41,10:30p,Cleveland Cavaliers,43,39,No,1,24.5,Tue,Jan,14,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
42,10:30p,Orlando Magic,43,39,Yes,0,41.5,Thu,Jan,16,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
48,10:30p,Sacremento Kings,43,39,No,1,37.5,Thu,Jan,30,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
49,3:00p,Minnesota Timberwolves,43,39,No,0,35.5,Sat,Feb,1,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
50,10:30p,Sas Antonio Spurs,43,39,Yes,5,46.5,Mon,Feb,3,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
51,10:30p,Miami Heat,43,39,No,3,43.5,Wed,Feb,5,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
56,3:00p,Sacremento Kings,43,39,No,1,37.5,Sat,Feb,22,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
57,10:30p,Memphis Grizzlies,43,39,No,0,27.5,Mon,Feb,24,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
59,10:30p,Denver Nuggets,43,39,Yes,0,53,Fri,Feb,28,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
60,3:00p,Philadelphia 76ers,43,39,Yes,3,54.5,Sun,Mar,1,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068
63,3:00p,Los Angeles Lakers,43,39,No,16,50.5,Sun,Mar,8,2020,0.512195122,0.073170732,118.4136364,114.2686364,0.56097561,0.048780488,118.4136364,114.2686364,0.634146341,1.048780488,8453.80068,8453.80068